Intro: Table 1
						
						
						
	series	source	tally	note		
	Navidad	M - ^^^		inc vars duplicates		
	Minkel	P - ^^^				
	O’Ryan	P - Bibliografía de la imprenta en Guatemala en los siglos XVII y XVIII por Juan Enrique O’Ryan publicada á expensas de la Universidad de Chile Santiago de Chile Imprenta Elzeviriana MDCCCXCVII	161 records	"bibliographies and histories reviewed listed in pp vii-xvi, 17-20"		
	^^^	P - Bibliografía guatemalteca de los siglos XVII y XVIII 2a ed 1960 Editorial del Ministerio de Educación Publica “Jose de Pineda Ibarra” Guatemala Centroamérica series III Centenario de la introducción de la imprenta en Centroamérica	161 records	vol 1 is facsimile copy of O’Ryan with 161 records		
	Reyes	P - Bibliografía de los estudios geográficos de la Republics de Guatemala desde 1574 hasta nuestros días por José Luis Reyes M 1a ed 1960 Editorial del Ministerio de Educación Publica “Jose de Pineda Ibarra” Guatemala Centroamérica series III Centenario de la introducción de la imprenta en Centroamérica	483 records	con lista de los mapas de la República de Guatemala que se han publicado desde 1527 hasta 1946 in pp 67 to 70 [120 records] / unnumbered bibliography in pp 65-66		


Reyes asdf: Table 1
	sort	class	pp	record	notes					
	0	^^^	7	A - 1 - ABARCA ROQUE Reglamento de las compañías fijas de Omoa el Golfo Trujillo Fuerte de San Carlos y Peten según el plan formado por el señor sub inspector general de las tropas de este Reyno brigadier don Roque Abarca y aprobado por SM en Real Orden de 5 de Octubre de 1802 artículo 7. 6pp.						
	1	^^^	7	A - 6 - AGUILAR PELAEZ VICTOR Diccionario geográfico de la Republica de Guatemala. Talleres Tipográficos “San Antonio” 13 calle oriente No 30 año de 1930 120 páginas de texto Guatemala Centroamérica.						
	2	^^^	8	A - 7 - AGUIRRE LILLY El país de la eterna primavera traducido del ingles por Lily y Jorge Aguirre. Editorial del Ministerio de Educación Publica Guatemala Centroamérica ano MCML 1950 239pp con ilustraciones.						
	3	^^^	8	A - 10 - ALCEDO D ANTONIO DE CORONEL Capitan de Reales Guardias Españolas Diccionario geografico-historico de las Indias Occidentales o America es a saber de los Reynos del Peru Nueva España Tierra-Firme Chile y Nuevo Reyno de Granada con la descripción de sus provincias naciones ciudades villas pueblos ríos montes costas puertos islas arzobispados obispados audiencias virreinatos gobiernos corregimientos y fortalezas frutos y producciones con expresión de sus descubrimientos conquistadores y fundadores conventos y religiones elección de sus catedrales y obispos que ha habido en ellas y noticia de los sucesos mas notables de varios lugares incendios terremotos sitios e invasiones que han experimentado y hombres ilustres que han producido escrito por. Madrid En la imprenta de Manuel González 1786-1789. 5 tomos.						
	4	^^^	8	A - 12 - ALVARADO GARCIA ERNESTO LIC Y PROF Historia de centroamérica nociones de instrucción cívica y geografía de Centroamérica. Primera parte Tegucigalpa Honduras 1949 359pp. Segunda parte Tegucigalpa Honduras 1949 380pp.						
	5		9	A - 21 - ARCHILA MANUEL ANTONIO Divulgacion geografica el antiguo lago del Peten publicado en El Liberal Progresista y reproducido en Anales de la Sociedad de Geografía e Historia de Guatemala No 3 tomo XI marzo de 1935 paginas 339-352.						
	6		10	A - 22 - ARCHILA MANUEL ANTONIO Geografia de Guatemala el antiguo gran lago dl Peten El rio Villalobos o Michatoya publicado en Anales de la Sociedad de Geografía e Historia de Guatemala No 2 tomo XIV diciembre de 1937 paginas 171-175.						
	7		10	A - 24 - ASTURIAS FRANCISCO DOCTOR Ampliación de la conferencia del 5 de abril de 1925 dio de su ingreso a la Sociedad de Geografía e Historia de Guatemala. Centroamerica 92pp con un mapa a colores del territorio de Belice.						
	8		10	A - 25 - ASTURIAS FRANCISCO DOCTOR Publicaciones de la Revista de la Facultad de Ciencias Jurídicas y Sociales Belice segunda edición aumentada. Guatemala Centroamérica junio de 1941 con dos mapas a colores y la bibliografía que consulto el autor 177pp.						
