15 Mar 53		Crisis	Spanish	"Baymen, Sailors"	"New R., Hon"	Sp siege of 1753		Sp have lately founded all Parts of New-River ... in order to starve out the Baymen	carried away two Crafts … 15 sm Craft belonging to the Baymen taken at New [Apr]	"sev of their [Baymen] people had just come in [to Old R likely] fm New R., where they had been entirely routed by the Sp [May]"							"New-York Mercury 35 NYC 1753 p 2
Pennsylvania Gazette 1274 Philadelphia 1753 p 2
Boston Evening-Post 929 Boston 1753 p 1"		
25 May 53		Assault	Spanish	"Sailors, Baymen"	"English Caye, Belize R."	Sp privateer vs Capt. Sergeant		Loss of 2 Brigs and a schooner … [recovered after engagement] to the Satisfaction of their Friends the Bay Traders	Capt. Lawrence disabled by a shot								Boston Evening-Post 932 Boston 1753 p 2		
24 May 54		Assault	Spanish	Baymen	Belize R.	Forgotten Battle of Old R.		300 Spaniards came by Land … were repulsed and obliged to withdraw by the Attack of only 100 of the Inhabitants	"ransacked [Mr. Wells] of Provisions, Money, Plate, &c. to a considerable Value"							"GALE|Z2000658060
GALE|Z2000658100"	"Pennsylvania Gazette 1267 Philadelphia 1753 p 2
Antigua Weekly Register XV 759 St. John’s 1818 p 4
Boston Evening-Post 987 Boston 29 Jul 1754 p 2
Boston News-Letter 2715 Boston 18 Jul 1754 p 7
New-York Mercury 100 NYC 8 Jul 1854 p 2, 3"	"jstor.org/stable/25611880 p ?
ProQuest ID 2351282127 p 84"	
15 Jun 54		Assault	Spanish	Baymen	Belize R.	Great Sp routing of 1754		"c 3,000 Land Forces of Sp and Indians … surprised the People, and carried off their Provisions"	Bay Men were preparing to leave the Place … ≤ 12 Apr 55	15 Vessels in the Bay … sev of wc are bound hither [NE]	Lg fleet fm Havannah had certainly mastered … the Bay [after Land forces]	Number of Vessels … taken					"Boston News-Letter 2714 Boston 1754 p 2
Boston Gazette 82 Boston 1754 p 4
Pennsylvania Gazette 1341 Philadelphia 1754 p 2"		
19 Nov 58		Crisis			Bay of Hon	Mass evacuation of 1758		Evacuation ≤ 24 Oct 59									Pennsylvania Gazette 1568 Philadelphia 1759 p 3		
24 Oct 59		Assault	Spanish	Baymen	Bay of Hon			seized sev loaded Flatts	carried off a number of white People and Neg								Pennsylvania Gazette 1628 Philadelphia 1760 p 3		
29 Dec 63		Crisis	Spanish	Baymen	"New, Hondo R."	New & Hondo R expulsions		"≥ 20 gangs expelled fm New, Hondo"	"Property loss = 26,794 L"	Redress costs = 303 L					"CO 5/119 ff 94
Lon Gazette 10456
Lon Gazette 10530"				
04 Feb 64		Crisis	Spanish	Baymen	"Hondo, Belize R."	Sp logging prohibition		total Stagnation of Business … were in the greatest Danger of wanting Provisions < 8 Feb 65	are in a state of Anarchy and Confusion	"est 12,000L loss"	"HM Sloop Wolf, man of war, troops ordered fm Jamaica to Hon"						"Boston News-Letter 3145 Boston 1764 p 3
Boston News-Letter 3161 Boston 1764 p 1
Boston News-Letter 3166 Boston 1764 p 2
Boston News-Letter 3180 Boston 1765 p 2
Boston News-Letter Supplement 3191 Boston 1765 p 2"		
31 Aug 65		Riot	Slaves	Slave owners	New R.	Mr. Cook’s Slaves’ Revolt	Mr. Cook … [and] three Eng seamen killed … sevc of the mutineers hanged … Craft with 11 Men missing [supposed killed]	stopped trade on New R. ≤ 11 Feb 65	10s [JL likely] per day for bounty hunters	10t Log for every slave [mutineer?] brought in						"GALE|Z2000352142
GALE|Z2000353870"	"Newport Mercury 368 Newport RI 23 Sep 1765 p 3
Boston News-Letter Supplement 3236 Boston 1765 p 1"		
21 Oct 65		Crisis		Loggers	Hon	Log exhaustion of 1765		no Business done for five Weeks past … 14 Sail lying here … will be but little Wood from hence these two months [29 Nov 65]	"about 70 Vessels [at Hon] … many of them with little or no Cargo, Wood being very scarce [Mar 66]"	"Provisions, and Bread in particular, is so very scarce"							"Boston News-Letter ??? Boston 1766 p 2
Boston News-Letter 3278 Boston 1766 p 2"		
25 Jul 67		Assault	Maya	Baymen	Hon		1 slave killed	house of Capt. Naismith was beset by a party of Indians … but were beat off									Boston News-Letter Supplement 3340 Boston 1767 p 1		
31 Aug 70		Assault	Spanish	Baymen	Ambergris		sev baymen killed	destroyed all the mahogany	burnt sev sm Houses							GALE|Z2000440223			
15 May 71		Crisis			Hon			"Logwood Cutters had, for some time past, removed their Families from the different Rivers to St. George’s"	"has been productive of great Loss to them, little or no Logwood having been cut during that Time"								Connecticut Courant MDCCLXXI 341 Hartford 1771 p 3		
06 Mar 72		Assault	Spanish	Sailors	Glover’s											GALE|Z2000682902			
28 May 73		Riot	Slaves	Slave owners	"Belize, New, Hondo R"	General Slave Revolt of 1773	6 white men killed … 1 revolt leader [likely] fatally wounded … 1 Bayman murdered by Baymen [St. George’s] in chaos … min. 5 slaves killed … 20 white people murdered total	300 white men sent after insurgents on 1 Jun … 22 or 23 insurgents at first … about 50 insurgents on 21 Jun	there will be very little wood shipped from hence [Hon] this year … These disturbances will put a stop to business	several Neg in New taken to the bush	most people threaten to leave the country	plundered 1 Flat [Hondo] … great number of Neg have robbed their Masters & fled			CO 5/120 ff 47-51; 192-4		"Rivington’s New York Gazetteer 16 NYC 1773 p 3
New-York Journal 1602 NYC 1773 p 3"		
30 Nov 73		Assault	Maya	Loggers	Bay of Hon		massacred numbers									GALE|Z2000770268			
02 Mar 75		Assault	Spanish	Baymen	Bay of Hon		many baymen killed									GALE|Z2000690897			
12 Sep 77		Crisis	Americans	Baymen	St. George’s	Gen. Washington affair		1 Principal Inhabitant was retained as a hostage for the safe return of Commander Hezekiah Anthony	"[Anthony demanded] some Rum … and a pilot to carry him to Sherboon R [which, in case of refusal or opposition would lay their Habitation in ashes]"	3 brigs made prizes from R Sherboon … carried off 40 men	Anthony informed us [Baymen] he meant to make our harbor a place of Rendezvouze … we are now in the most distressful situation immaginable	We have … [hired] a Vessel at a very Considerable expence to give You [Vice Adm Jam] the earliest intelligence possible of this affair	Trade is rather at a Stand [1 Nov 77] ≤ 14 Jan 78		"NDAR 10 p 79, 372, 399"			ProQuest ID 230667983 p 116	W.J. Morgan Naval Documents of the American Revolution 7 Washington 1986 p 237
02 Jun 79		Assault	Spanish	Baymen	"St. George’s, R. Tinto, Hon"	Great routing of 1779		95 to 100 imprisoned ≤ 31 Jul 82	"[baymen] deliver[ed] up our negroes, our money and our plate"						Lon Gazette 12040		Royal Gazette III 115 Kingston 1781 p 5		
16 Oct 79		Assault	English; Baymen	Spanish	Omoa	Siege of Omoa									CO 5/237 ff 187-202				
01 Jul 84		Outbreak		Settlers	New R.	Distemper	proved fatal to many [New]									GALE|Z2000582839			
16 Jul 87		Crisis	Baymen	Government	Belize T.	Col. Despard affair		"Courts dissolved, Magistrates deprived of office on 30 May 89"	Plan of Police leads to state of anarchy ≤ 30 Sep 89 to ≤ 10 Nov 89	riots very common [likely by Shoremen] c 24 Jul 87						GALE|Z2000879367		ProQuest ID 304303774 p 170	
31 Jan 88		Outbreak			Bay of Hon	Measles [?]	"50 white people dead, and a much greater number of negroes"										New-York Morning Post 1215 NYC 1788 p 2		
15 Jul 92		Flood			Belize T.		many negroes perished	2 m [superficial?] ft mahogany lost									Times 2530 London 1793 p 3		??? Monthly Magazine 7 London 1799 p 286
28 Dec 93		Assault	Maya	Baymen	Hon		"1 Bayman shot, 4 raiders killed"	party of 70 people mustered and went against the enemy								GALE|Z2001633801			
11 Feb 97		Crisis		Baymen	"St. George’s, Hon"	Sp assault mobilisation		martial law declared 11 Feb 97 [stopping all activities] ≤ 10 Sep 98											
20 Sep 97		Outbreak		Irish Brigade	St. George’s [likely]	Yellow fever	23 men die within weeks of arrival								Cmd. 7533 p 224			ProQuest ID 301519802 p 246	
10 Sep 98		Assault	Spanish	Baymen	St. George’s	Battle of St George’s									Lon Gazette 15100 p 69				
25 Sep 08		?				Spanish American Wars of Independence		???	???										?
15 Jan 52		Assault	Spanish	"Baymen, Sailors"	Belize R.	Mass evacuation of 1752		"5 or 6 [Sp] armed Vessels … all Eng Vessels of Force drew up in a Line, and played so warmly on the Dons that they soon retired  "	"the English … being upwards of 30 Sail, all left the Bay, many of them not half loaded"	"most of the Bay-men at Mosq = min 40, being daily routed by the Spaniards, about five Families left in the Bay ≤ 15 Sep 54"	sev Sp Craft are continually cruising in the Bay 					"GALE|Z2001070664
GALE|Z2001247769"	"Boston Evening-Post 863 Boston 1752 p 1
New-York Gazette, or Weekly Post-Boy 476 NYC 1752 p 2
New-York Mercury 16 NYC 1752 p 2
Boston News-Letter 2757 Boston1755 p 2
Boston Gazette 102 Boston 1754 p 3
Boston News-Letter 2772 Boston 1755 p 2, 3
Boston News-Letter 2593 Boston 1752 p 2
Boston News-Letter 2622 Boston 1752 p 1
Pennsylvania Gazette 1262 Philadelphia 1753 p 2
Antigua Gazette 130 St. John’s 1755 p 3
New-York Evening Post 283 NYC 1752 p 3"		


Press < 1820: Table 1
Date	Link	ID	
24 May 01	Link	Z2001376136	
26 Jul 18	Link	Z2001342325	
24 May 22	Link	Z2001344843	
30 Jun 22	Link	Z2001372211	
07 Jul 22	Link	Z2001588009	
28 Mar 23	Link	Boston News-Letter (1000)	
11 Apr 23	Link	Boston News-Letter (1002)	
13 May 23	Link	Z2001394927	
16 May 23	Link	Boston News-Letter (1007)	
27 Jun 23	Link	Z2000266249	
27 Jun 23	Link	Z2001597849	
22 Aug 23	Link	Boston News-Letter (1021)	
09 Nov 23	Link	Z2001598245	
12 Jun 24	Link	Z2000206697	
13 Jul 24	Link	Z2000266921	
15 Jul 24	Link	Z2001053062	
15 Jul 24	Link	Z2001053062	
08 Aug 24	Link	Z2000122736	
08 Aug 24	Link	Z2001373336	
10 Aug 24	Link	Z2000267001	
10 Dec 24	Link	Boston News-Letter (1089)	
15 Jan 25	Link	Z2000267588	
25 Jan 25	Link	Z2000207604	
30 Jan 25	Link	Z2000123226	
08 May 25	Link	Z2000208080	
08 May 25	Link	Z2000786052	
28 Aug 27	Link	New-England Weekly Journal (XXIII)	
16 Jan 29	Link	Z2000246523	
08 May 29	Link	Z2000247051	
11 Oct 29	Link	Z2001387504	
13 Aug 30	Link	Z2000248933	
03 May 31	Link	Z2000250215	
12 May 31	Link	Z2000250275	
26 Jul 31	Link	New-England Weekly Journal (CCXXVII)	
29 Jul 31	Link	Boston News-Letter (1435)	
24 Sep 31	Link	Z2000251060	
23 Oct 31	Link	Z2000133505	
04 Nov 31	Link	Z2000632515	
19 May 32	Link	Z2000252377	
27 May 32	Link	Z2001242714	
22 Jul 32	Link	Z2001496196	
22 Jul 32	Link	Z2001496196	
14 Sep 32	Link	Boston News-Letter (1494)	
03 Oct 32	Link	Z2000253173	
08 Oct 33	Link	Weekly Rehearsal (106)	
24 Feb 34	Link	New-York Weekly Journal (LXVIII)	
11 Nov 34	Link	New-York Weekly Journal (LIV)	
11 Nov 34	Link	New-York Weekly Journal (LIV)	
24 Feb 35	Link	Boston Gazette (790)	
22 Dec 35	Link	New-York Weekly Journal (CXI)	
22 Dec 35	Link	New-York Weekly Journal (CXI)	
17 Aug 36	Link	New-England Weekly Journal (489)	
08 Nov 36	Link	Boston Gazette (878)	
07 Feb 37	Link	Boston Gazette (891)	
28 Feb 37	Link	Boston Evening-Post (81)	
03 Mar 37	Link	Boston News-Letter (1722)	
24 Mar 37	Link	Boston News-Letter (1725)	
26 Sep 37	Link	New-York Weekly Journal (203)	
26 Sep 37	Link	New-York Weekly Journal (203)	
10 Oct 37	Link	New-York Weekly Journal (205)	
10 Oct 37	Link	New-York Weekly Journal (205)	
16 Feb 38	Link	Boston News-Letter (1769)	
20 Feb 38	Link	Boston Gazette (945)	
20 Feb 38	Link	Boston Post-Boy (172)	
21 Feb 38	Link	New-England Weekly Journal (566)	
23 Mar 38	Link	Boston News-Letter (1774)	
17 Apr 38	Link	Boston Evening-Post (140)	
17 Apr 38	Link	Boston Gazette (953)	
18 Apr 38	Link	New-England Weekly Journal (574)	
03 Mar 39	Link	New-York Weekly Journal (325)	
03 Mar 39	Link	New-York Weekly Journal (325)	
16 Apr 39	Link	New-York Weekly Journal (279)	
16 Apr 39	Link	New-York Weekly Journal (279)	
15 May 39	Link	New-England Weekly Journal (630)	
17 May 39	Link	Boston News-Letter (1834)	
28 Jan 40	Link	Boston Post-Boy (303)	
18 Feb 40	Link	Boston Evening-Post (237)	
21 Feb 40	Link	Boston News-Letter (1874)	
17 Mar 40	Link	Boston Evening-Post (241)	
20 Mar 40	Link	Boston News-Letter (1878)	
31 Mar 40	Link	New-York Weekly Journal (329)	
21 Apr 40	Link	Boston Post-Boy (315)	
22 Apr 40	Link	New-England Weekly Journal (679)	
24 Apr 40	Link	Boston News-Letter (1883)	
05 May 40	Link	New-York Weekly Journal (335)	
05 May 40	Link	New-York Weekly Journal (335)	
02 Oct 40	Link	Boston News-Letter (1906)	
07 Oct 40	Link	New-England Weekly Journal (703)	
19 Mar 41	Link	Boston News-Letter (1930)	
23 Mar 41	Link	Boston Evening-Post (294)	
23 Mar 41	Link	Boston Gazette (1022)	
24 Mar 41	Link	New-England Weekly Journal (727)	
09 Nov 41	Link	New-York Weekly Journal (415)	
09 Nov 41	Link	New-York Weekly Journal (415)	
15 Mar 42	Link	Boston Evening-Post (345)	
15 Mar 42	Link	Boston Post-Boy (347)	
18 Mar 42	Link	Boston News-Letter (1982)	
14 Jun 42	Link	New-York Weekly Journal (446)	
15 Nov 42	Link	Boston Post-Boy (413)	
18 Nov 42	Link	Boston News-Letter (2017)	
22 Nov 42	Link	New-York Weekly Journal (470)	
22 Nov 42	Link	New-York Weekly Journal (470)	
20 Dec 42	Link	New-York Weekly Journal (474)	
03 May 43	Link	Boston Gazette (1105)	
04 Jul 43	Link	Boston Evening-Post (413)	
07 Jul 43	Link	Boston News-Letter (2049)	
09 Jan 44	Link	Boston Evening-Post (440)	
09 Jan 44	Link	Boston Evening-Post (440)	
11 Nov 45	Link	Boston Evening-Post (535)	
18 Nov 45	Link	New-York Evening Post (52)	
18 Nov 45	Link	New-York Evening Post (52)	
11 Aug 47	Link	Z2000434671	
19 Mar 49	Link	New-York Weekly Journal (847)	
19 Mar 49	Link	New-York Weekly Journal (847)	
06 Mar 50	Link	Boston Gazette (1564)	
19 Mar 50	Link	New-York Evening Post (252)	
19 Mar 50	Link	"New-York Gazette, or Weekly Post-Boy (374)"	
19 Mar 50	Link	New-York Evening Post (252)	
19 Mar 50	Link	"New-York Gazette, or Weekly Post-Boy (374)"	
21 May 50	Link	New-York Evening Post (261)	
23 Jul 50	Link	Boston Evening-Post (780)	
23 Jul 50	Link	Boston Post-Boy (815)	
24 Jul 50	Link	Boston Gazette (1584)	
18 Sep 50	Link	Boston Gazette (1592)	
22 Oct 50	Link	Boston Evening-Post (793)	
29 Oct 50	Link	Boston Post-Boy (828)	
30 Oct 50	Link	Boston Gazette (1598)	
02 Nov 50	Link	Boston News-Letter (2529)	
13 Dec 50	Link	Boston News-Letter (2535)	
17 Dec 50	Link	Boston Post-Boy (834)	
17 Dec 50	Link	"New-York Gazette, or Weekly Post-Boy (413)"	
31 Dec 50	Link	"New-York Gazette, or Weekly Post-Boy (415)"	
31 Dec 50	Link	"New-York Gazette, or Weekly Post-Boy (415)"	
03 Jan 51	Link	Boston News-Letter (5373)	
07 Jan 51	Link	Boston Post-Boy (837)	
28 Jan 51	Link	"New-York Gazette, or Weekly Post-Boy (419)"	
11 Feb 51	Link	"New-York Gazette, or Weekly Post-Boy (421)"	
11 Feb 51	Link	"New-York Gazette, or Weekly Post-Boy (421)"	
08 Apr 51	Link	Boston Post-Boy (851)	
09 Apr 51	Link	Boston Gazette (1621)	
03 Jun 51	Link	Boston Post-Boy (858)	
29 Jul 51	Link	Boston Post-Boy (866)	
30 Jul 51	Link	Boston Gazette (1637)	
19 Aug 51	Link	Boston Evening-Post (835)	
19 Aug 51	Link	Boston Post-Boy (869)	
20 Aug 51	Link	Boston Gazette (1640)	
22 Aug 51	Link	Boston News-Letter (2565)	
10 Sep 51	Link	Boston Gazette (1643)	
21 Oct 51	Link	New-York Evening Post (235)	
21 Oct 51	Link	"New-York Gazette, or Weekly Post-Boy (457)"	
21 Oct 51	Link	"New-York Gazette, or Weekly Post-Boy (457)"	
21 Oct 51	Link	"New-York Gazette, or Weekly Post-Boy (457)"	
21 Oct 51	Link	"New-York Gazette, or Weekly Post-Boy (457)"	
21 Oct 51	Link	New-York Evening Post (235)	
31 Dec 51	Link	Boston Gazette (1659)	
18 Feb 52	Link	Boston Gazette (1666)	
09 Mar 52	Link	"New-York Gazette, or Weekly Post-Boy (477)"	
09 Mar 52	Link	"New-York Gazette, or Weekly Post-Boy (477)"	
18 Apr 52	Link	Z2000139186	
04 May 52	Link	"New-York Gazette, or Weekly Post-Boy (485)"	
04 May 52	Link	"New-York Gazette, or Weekly Post-Boy (485)"	
11 May 52	Link	Boston Post-Boy (907)	
10 Aug 52	Link	Boston Evening-Post (886)	
25 Sep 52	Link	Boston Post-Boy (925)	
26 Sep 52	Link	Boston Gazette (1696)	
02 Oct 52	Link	Boston Evening-Post (892)	
02 Oct 52	Link	Boston Post-Boy (926)	
05 Oct 52	Link	Boston News-Letter (2622)	
09 Oct 52	Link	New-York Evening Post (286)	
09 Oct 52	Link	New-York Evening Post (286)	
27 Nov 52	Link	Boston Post-Boy (934)	
27 Nov 52	Link	New-York Mercury (16)	
30 Nov 52	Link	Boston News-Letter (2630)	
25 Dec 52	Link	New-York Mercury (20)	
22 Jan 53	Link	Boston Evening-Post (908)	
06 Mar 53	Link	Boston Gazette (10)	
22 Mar 53	Link	Boston News-Letter (2646)	
02 Apr 53	Link	Boston Post-Boy (952)	
03 Apr 53	Link	Boston Gazette (14)	
05 Apr 53	Link	Boston News-Letter (2648)	
16 Apr 53	Link	Boston Post-Boy (954)	
17 Apr 53	Link	Boston Gazette (16)	
20 Apr 53	Link	Boston News-Letter (2650)	
11 Jun 53	Link	New-York Mercury (44)	
18 Jun 53	Link	Boston Evening-Post (929)	
12 Jul 53	Link	Boston News-Letter (2662)	
06 Aug 53	Link	Boston Post-Boy (970)	
07 Aug 53	Link	Boston Gazette (32)	
09 Aug 53	Link	Boston News-Letter (2666)	
07 Jan 54	Link	Boston Evening-Post (958)	
07 Jan 54	Link	Boston Post-Boy (983)	
