Introduction: Table 1
						
						
						
						
	Discordance and ambiguity re earliest English settlement in Belize					
						
	To be addressed	settlement as pirate / buccaneer haven vs logging				
		earliest presence by pirates				
		earliest logging by pirates				
		earliest settlement in Mosquito Shore				
		earliest settlement in Bay Islands				
		earliest settlement in Belize proper				
		earliest settlement in Yucatan				
		earliest settlement in Mexico Gulf				
		tipu revolt & spanish withdrawal				


Sources: Table 1
ID	OID	AID	OAID	FM	TO	FORM	PRIM	DATE	DATE	TITLE	DESC	IMPRINT	CAT 0	CAT 1	CAT 2	AV	NOTE	SOURCE	SURL	END	
^^^	S 532	Temple	Temple 1857 / Temple 57a	^^^	^^^	A	0	1857	^^^	"On British Honduras, its History, Trade, and Natural Resources"	^^^	16 January 1857 Journal of the Society of Arts. 5 (217): 113–130	https://www.google.com/books/edition/_/R1kmAQAAIAAJ?hl=en&gbpv=0	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
^^^	S 526	Temple aa	Temple 1858 / Temple 58a	^^^	^^^	A	0	1858	^^^	British Honduras	^^^	11 June 1858 Journal of the Society of Arts. 6 (290): 465–471	https://www.google.com/books/edition/_/B1omAQAAIAAJ?hl=en&gbpv=0	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
^^^	S 526	^^^	Temple 1858 / Temple 58a	^^^	^^^	A	0	1858	^^^	British Honduras	^^^	18 June 1858 Journal of the Society of Arts. 6 (291): 484–489	https://www.google.com/books/edition/_/B1omAQAAIAAJ?hl=en&gbpv=0	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
^^^	S 514	Peniche	Peniche	^^^	^^^	A	0	1869	^^^	"Historia de las relaciones de España y México con Inglaterra, sobre el establecimiento de Belice"	^^^	"Boletín de la Sociedad de Geografía y Estadística de la República Mexicana. ser 2. vol 1: pp 217–256, 377–403"	https://www.google.com/books/edition/Bolet%C3%ADn_de_la_Sociedad_de_Geograf%C3%ADa_y/lARGAQAAMAAJ?hl=en&gbpv=0&kptab=editions	^^^	^^^	^^^	"1869 reprint in bound volume [Mexico, Imprenta del Gobierno, https://hollis.harvard.edu/permalink/f/1s5nto6/01HVD_ALMA512247589270003941, http://id.lib.harvard.edu/alma/990062883790203941/catalog] / 1940 reprint in bound volume [Mérida, Compañia typografia yucateca, http://id.lib.harvard.edu/alma/990059492620203941/catalog]"	AN - orig data sources 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers	###	
^^^	S 1004	Azpiroz	Azpiroz	^^^	^^^	A	0	1871	^^^	Establecimiento inglés de Belice	^^^	(23 March 1871) Boletín de la Sociedad de Geografía y Estadística de la República Mexicana. ser 2. vol 4: pp 698–715	https://www.google.com/books/edition/_/uABGAQAAMAAJ?hl=en&gbpv=1	^^^	^^^	^^^	^^^	AN - orig data sources 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers	###	
^^^	S 1010	C Ancona aa	C Ancona	^^^	^^^	A	0	1878	^^^	El orígen de Belice	^^^	(9 November 1878) Boletín de la Sociedad de Geografía y Estadística de la República Mexicana. ser 3. vol 4: pp 254–264	https://hdl.handle.net/2027/mdp.39015008360342	https://hdl.handle.net/2027/mdp.39015008360342?urlappend=%3Bseq=268%3Bownerid=13510798895636614-272	^^^	^^^	^^^	AN - orig data sources 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers	###	
^^^	^^^	Rogers	^^^	^^^	^^^	A	^^^	1885	^^^	British Honduras: its resources and development	^^^	Journal of the Manchester Geographical Society ^^^ pp 197-227	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/60229682	^^^	^^^	^^^	"Delivered before the Member of the Society at the Manchester Athenaeum, October 14, 1885 / from article title page"	AN - ‘Honduras’ search in HOLLIS - FCO - 19th-Century British Pamphlets	https://www-jstor-org.ezp-prod1.hul.harvard.edu/action/doBasicSearch?Query=Honduras&ccda=eyJpZCI6ICIyNjU4MzkyNyIsICJwYWdlTmFtZSI6ICJGb3JlaWduIGFuZCBDb21tb253ZWFsdGggT2ZmaWNlIENvbGxlY3Rpb24iLCAicGFnZVVybCI6ICIvc2l0ZS9wcmltYXJ5LXNvdXJjZXMvMTl0aC1jZW50dXJ5LWJyaXRpc2gtcGFtcGhsZXRzL2ZvcmVpZ24tYW5kLWNvbW1vbndlYWx0aC1vZmZpY2UtY29sbGVjdGlvbi8iLCAidHlwZSI6ICJjb21waWxhdGlvbiIsICJwb3J0YWxOYW1lIjogIkpTVE9SIFByaW1hcnkgU291cmNlcyIsICJwb3J0YWxVcmwiOiAiL3NpdGUvcHJpbWFyeS1zb3VyY2VzLyJ9&so=rel	###	
^^^	S 1038	Avery	Avery 1900	^^^	^^^	A	^^^	1900	^^^	British Honduras	^^^	Journal of the American Geographical Society of New York. 32 (4): 331–333	https://doi.org/10.2307%2F197063	https://www.jstor.org/stable/197063	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
^^^	^^^	^^^	^^^	^^^	^^^	A	^^^	1909	^^^	"The Causes of the War of Jenkins’ Ear, 1739"	^^^	Transactions of the Royal Historical Society 3 (1909): 197–236	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_crossref_primary_10_2307_3678276	^^^	^^^	1	^^^	OB - AH - Smuggling	https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199730414/obo-9780199730414-0197.xml	###	
^^^	^^^	^^^	Barbour 1911	^^^	^^^	A	^^^	1911	^^^	Privateers and Pirates of the West Indies	^^^	The American Historical Review. 16 (3): 529–566	https://doi.org/10.2307%2F1834836	https://www.jstor.org/stable/1834836	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
^^^	S 450	Swayne	Swayne 1917	^^^	^^^	A	^^^	1917	^^^	British Honduras	^^^	The Geographical Journal. 50 (3): 161–175	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1779904	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
^^^	S 772	^^^	Harlow	^^^	^^^	A	0	1924	^^^	"The voyages of Captain William Jackson, 1642-5"	^^^	Camden. Third Series. 34: 1–39	https://doi.org/10.1017%2FS2042171000006920	^^^	^^^	^^^	^^^	AN - orig data sources 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers	###	
