Cust Jamaica: Table 1
	Start	End	In	Log	p	for	Note		Start	End	Period	Value	Sum	Hon	Not Hon Not Camp	Sum	Camp	Hon	Other			
	24 Jun 1686	29 Sep 1686	13w 6d					0	0	0	0			
	29 Sep 1686	25 Dec 1686	12w 3d					179.5	160	19.5	0			0.108635097493036
	25 Dec 1686	25 Mar 1687	12w 6d					106	66	40	0			0.377358490566038
	25 Mar 1687	25 Jun 1687	13w 1d					0	0	0	0			
	25 Jun 1687	29 Sep 1687	13w 5d					0	0	0	0			
	29 Sep 1687	25 Dec 1687	12w 3d					35	0	35	0			1
	25 Dec 1687	25 Mar 1688	13w					307	24	283	0			0.921824104234528
	25 Mar 1688	24 Jun 1688	13w					85	20	65	0			0.764705882352941
	25 Jun 1688	24 Sep 1688	13w					125	125	0	0			0
	24 Sep 1688	25 Dec 1688	13w 1d					364	292	72	0			0.197802197802198
	25 Dec 1688	25 Mar 1689	12w 6d					237	217	20	0			0.0843881856540084
	25 Mar 1689	25 Jun 1689	13w 1d					102	67	35	0			0.343137254901961
	25 Jun 1689	25 Sep 1689	13w 1d					86	86	0	0			0
	16 Sep 1689	25 Dec 1689	14w 2d					95	95	0	0			0
	25 Dec 1689	25 Mar 1690	12w 6d					130	130	0	0			0
	25 Mar 1690	25 Jun 1690	13w 1d					0	0	0	0			
	24 Jun 1690	29 Sep 1690	13w 6d					10	0	0	10			0
	29 Sep 1690	25 Dec 1690	12w 3d					20	0	20	0			1
	25 Dec 1690	25 Mar 1691	12w 6d					0	0	0	0			
	25 Mar 1691	25 Jun 1691	13w 1d					0	0	0	0			
	25 Jun 1691	29 Sep 1691	13w 5d					0	0	0	0			
	29 Sep 1691	25 Dec 1691	12w 3d					0	0	0	0			
	25 Dec 1691	25 Mar 1692	13w					30	0	30	0			1
	25 Mar 1709	29 Sep 1711	131w 1d					907.5	586	290.25	31.25			0.319834710743802
	25 Mar 1712	29 Sep 1713	79w					0	0	0	0			
	25 Mar 1718	24 Jun 1718	13w					0	0	0	0			
	24 Jun 1718	29 Sep 1718	13w 6d					0	0	0	0			
	25 Jun 1718	29 Sep 1718	13w 5d					122	122	na	na			
	29 Jun 1718	29 Sep 1718	13w 1d					0	0	0	0			
	29 Sep 1718	25 Dec 1718	12w 3d					45	0	0	45			0
	25 Dec 1718	25 Mar 1719	12w 6d					0	0	0	0			
	25 Dec 1718	25 Mar 1719	12w 6d					0	0	0	0			
	25 Mar 1719	24 Jun 1719	13w					0	0	0	0			
	25 Mar 1719	24 Jun 1719	13w					40	0	40	0			1
	24 Jun 1719	29 Sep 1719	13w 6d					0	0	0	0			
	24 Jun 1719	29 Sep 1719	13w 6d					0	0	0	0			
	24 Jun 1719	25 Dec 1719	26w 2d					0	0	0	0			
	29 Sep 1719	25 Dec 1719	12w 3d					0	0	0	0			
	29 Sep 1719	29 Dec 1719	13w					0	0	0	0			
	25 Dec 1719	25 Mar 1720	13w					0	0	0	0			
	25 Mar 1720	25 Jun 1720	13w 1d					35	0	35	0			1
	21 Sep 1721	25 Mar 1722	26w 3d					0	0	0	0			
	1 Feb 1727	24 Jun 1727	20w 3d					1240	0	1240	0			1
	25 Jun 1728	29 Sep 1728	13w 5d					25	0	25	0			1
	29 Sep 1728	25 Dec 1728	12w 3d					15	0	15	0			1
	25 Dec 1728	25 Mar 1729	12w 6d					0	0	0	0			
	25 Mar 1729	24 Jun 1729	13w					30	0	30	0			1
	25 Jun 1729	29 Sep 1729	13w 5d					8	0	8	0			1
	29 Sep 1729	25 Dec 1729	12w 3d					50	0	50	0			1
	25 Dec 1729	25 Mar 1730	12w 6d					275	0	193	82			0.701818181818182
	29 Sep 1742	25 Dec 1742	12w 3d					155	0	155	0			1
	25 Mar 1743	29 Sep 1743	26w 6d					309	0	309	0			1
	29 Sep 1743	25 Mar 1744	25w 3d					86	0	35	51			0.406976744186047
	25 Mar 1744	29 Sep 1744	26w 6d					42	0	0	42			0
	1 Oct 1744	25 Dec 1744	12w 1d					27	0	0	27			0
	25 Dec 1744	25 Mar 1745	12w 6d					0	0	0	0			
	25 Mar 1745	24 Jun 1747	117w 2d					116	0	0	116			0
	25 Sep 1745	25 Mar 1746	25w 6d					0	0	0	0			
	10 May 1747	18 Jun 1747	5w 4d					0	0	0	0			
	24 Jun 1747	25 Mar 1748	39w 2d					0	0	0	0			
	25 Jun 1747	25 Sep 1747	13w 1d					0	0	0	0			
	25 Dec 1747	25 Mar 1748	13w					0	0	0	0			
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
						0								
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
					0									
														
														
														
					0									
						na	na							
														
														
														
						0								
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														

Cust Boston: Table 1
	Start	End	In?	Salem?	Log	p	Note								
1	31 May 1686	29 Sep 1686	1												
22	29 Sep 1687	25 Mar 1688	1		60										
44	25 Mar 1688	29 Sep 1688	1		0.5	jam									
					25	h	plus 2t sarsaparilla; 100 ? notto; 1t iron old								
					40	h									
					45	h	plus 50 dry hides								
159	25 Dec 1713	25 Dec 1714	1		1235										
					24	curasoa									
					175										
162	25 Dec 1714	25 Dec 1715	1		803										
164	25 Dec 1715	25 Dec 1716	1		275										
165	25 dec ?	24 Jun 1716	1		60										
167	29 Jul 1718	23 Aug 1718	1												
169	23 Aug 1718	13 Oct 1718	1												
171	13 Oct 1718	3 Nov 1718	1												
173	3 Nov 1718	23 Mar 1719	1												
175	23 Mar 1718	11 Apr 1718	1												
177	11 Apr 1719	6 May 1719	1												
179	6 May 1719	11 Jun 1719	1												
181	11 Jun 1719	14 Jul 1719	1												
185	25 Sep 1714	25 Dec 1714	1	1											
187	25 Dec 1714	25 Mar 1715	1	1											
189	25 Mar 1715	25 Jun 1715	1	1											
192	25 Jun 1715	29 Sep 1715	1	1			"Stopped recording Salem, & later Marblehead, Newbury & York, imports at img192"								
242	25 Sep 1752	25 Dec 1752	1												
261	25 Dec 1752	5 Apr 1753	1												
269 … 273	5 Apr 1753	5 Jul 1753	1		200	h									
282	10 Jul 1753	10 Oct 1753	1		10	SC									
					70	h									
					55	h									
