Sheet 1: Table 1
	P	OCLC	ARCHON	CENSO	Cat 1	Cat 2
Archives and Records Service	Belize					
Library Service	Belize					
Biblioteca Nacional José Martí	Cuba					
Archivo Nacional de Cuba	Cuba					
Instituto de Historia de Cuba	Cuba					
Universidad de La Habana	Cuba					
Archivo General de Centroamérica	Guatemala					
Centro de Investigaciones Regionales de Guatemala	Guatemala					
Universidad de San Carlos de Guatemala	Guatemala					
Universidad Rafael Landívar	Guatemala					
Biblioteca Nacional de Guatemala	Guatemala					
Hemeroteca Nacional de Guatemala	Guatemala					
Archivo General de la Nación	Mexico					
Biblioteca Central UNAM	Mexico					
Biblioteca Palafoxiana	Mexico					
Biblioteca Vasconcelos	Mexico					
Biblioteca Cervantina	Mexico					
Bilbioteca Nacional de México	Mexico					
Hemeroteca Nacional de México	Mexico					
Archivo Histórico de Mérida	Mexico					
Archivo General del Estado de Yucatán	Mexico					


Sheet 1-1: Table 1
						
						


Sheet 1-1-1: Table 1
						
						
