Table 1
Symbol	Description	Begin	End	Periodicity	Country	Currency	Series Type	GFD Sector	Units	Scale	Sector	Industry	Equity Type	Exchange	Has Access
CPBLZM	Belize Consumer Price Index Inflation Rate	02-29-1980	04-30-2022	"Annual From Feb 1980 To Aug 1984, Quarterly From Nov 1984 To Feb 2011, Monthly From Mar 2011 To Apr 2022, "	BELIZE	BZD	Consumer Price Indices	Economic	Index Number	Units					1
GDPBLZ	Belize Nominal GDP	12-31-1960	12-31-2021	"Annual From Dec 1960 To Dec 1993, Quarterly From Mar 1994 To Dec 2021, "	BELIZE	BZD	National Account Aggregates	National Accounts	National Currency	Millions					1
ITBLZ3M	Belize 3-month Treasury Bill Yield	12-31-1978	01-31-2015	"Monthly From Dec 1978 To Jan 2015, "	BELIZE	BZD	Treasury Bill Yields	Fixed Income	Percent per Annum	Units					1
IDBLZM	Belize Central Bank Lending Rate	12-31-1978	03-31-2022	"Monthly From Dec 1978 To Mar 2022, "	BELIZE	BZD	Central Bank Interest Rates	Fixed Income	Percent per Annum	Units					1
POPBLZ	Belize Population (with GFD Extension)	12-31-1861	12-31-2021	"Annual From Dec 1861 To Dec 2021, "	BELIZE	XXX	Population	Development	Units	Thousands					1
ILBLZM	Belize Average Lending Rate	08-30-1982	01-31-2015	"Monthly From Aug 1982 To Jan 2015, "	BELIZE	BZD	Lending Rates	Fixed Income	Percent per Annum	Units					1
ICBLZSM	Belize Average Savings Rate	03-31-1981	01-31-2015	"Monthly From Mar 1981 To Jan 2015, "	BELIZE	BZD	Deposit Rates	Fixed Income	Percent per Annum	Units					1
ICBLZTM	Belize Average Time Deposit Rate	12-31-1976	01-31-2015	"Annual From Dec 1976 To Dec 1979, Monthly From Jan 1980 To Jan 2015, "	BELIZE	BZD	Deposit Rates	Fixed Income	Percent per Annum	Units					1
USDBZDBM	Belize Dollar Black Market Rate	11-30-1967	12-31-1993	"Monthly From Nov 1967 To Dec 1993, "	BELIZE	BZD	Exchange Rates - Black Market	Exchange Rate	Currency Units	Units					1
GDPCBLZ	Belize Real GDP in 2000 Dollars	12-31-1960	12-31-2021	"Annual From Dec 1960 To Dec 1993, Quarterly From Mar 1994 To Dec 2021, "	BELIZE	BZD	National Account Aggregates	National Accounts	National Currency	Millions					1
EMBPBLZM	EMBI+ Belize Government Bond Spread	03-30-2007	05-31-2014	"Monthly From Mar 2007 To May 2014, "	BELIZE	USD	Government Bond Yields	Fixed Income	Basis Points	Units					1
DT.AMT.OFFT.CD.BLZ	"Belize PPG, official creditors (AMT, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
NY.GDP.MKTP.CD.BLZ	Belize GDP (current US$)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Millions					1
GVDXBLZQ	Belize Government External Debt Securities	09-30-2002	03-31-2015	"Quarterly From Sep 2002 To Mar 2015, "	BELIZE	USD	Debt - Government	Government and Debt	National Currency	Billions					1
NY.GDP.FCST.KN.BLZ	Belize Gross value added at factor cost (constant LCU)	12-31-1970	12-31-2018	"Annual From Dec 1970 To Dec 2018, "	BELIZE	BZD	National Account Aggregates	National Accounts	National Currency	Millions					1
DT.DIS.OFFT.CD.BLZ	"Belize PPG, official creditors (DIS, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
NY.GDP.MKTP.KN.BLZ	Belize GDP (constant LCU)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	BZD	National Account Aggregates	National Accounts	National Currency	Millions					1
SP.POP.DPND.YG.BLZ	"Belize Age dependency ratio, young (% of working-age population)"	12-31-1960	12-31-2017	"Annual From Dec 1960 To Dec 2017, "	BELIZE	XXX	Population	Development	Percentage	Units					1
NY.GNP.PCAP.CD.BLZ	"Belize GNI per capita, Atlas method (current US$)"	12-31-1962	12-31-2017	"Annual From Dec 1962 To Dec 2017, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Units					1
NV.IND.TOTL.KD.BLZ	"Belize Industry, value added (constant 2000 US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	National Accounts - Value Added	National Accounts	National Currency	Millions					1
BM.GSR.NFSV.CD.BLZ	"Belize Service imports (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
DT.AMT.PCBK.CD.BLZ	"Belize PPG, commercial banks (AMT, current US$)"	12-31-1970	12-31-2016	"Annual From Dec 1970 To Dec 2016, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
DT.AMT.DLXF.CD.BLZ	"Belize Principal repayments on external debt, long-term (AMT, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
NY.GDP.DEFL.KD.ZG.BLZ	"Belize Inflation, GDP deflator (annual %)"	12-31-1961	12-31-2017	"Annual From Dec 1961 To Dec 2017, "	BELIZE	XXX	National Account Aggregates	National Accounts	Percent Per Annum	Units					1
GVDXBLZU	Belize Total External Public Debt (USD)	12-31-1998	12-31-2008	"Annual From Dec 1998 To Dec 2008, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Millions					1
TX.VAL.MRCH.CD.WT.BLZ	Belize Merchandise exports (current US$)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	USD	Exports and Imports	International Trade	National Currency	Millions					1
DT.DIS.BLAT.CD.BLZ	"Belize PPG, bilateral (DIS, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
DT.INT.OFFT.CD.BLZ	"Belize PPG, official creditors (INT, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
DT.DIS.DLXF.CD.BLZ	"Belize Disbursements on external debt, long-term (DIS, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
NY.GDP.PCAP.KD.BLZ	Belize GDP per capita (constant 2000 US$)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Units					1
FM.LBL.BMNY.GD.ZS.BLZ	Belize Broad money (% of GDP)	12-31-1976	12-31-2018	"Annual From Dec 1976 To Dec 2018, "	BELIZE	XXX	Monetary Aggregates	Economic	Percentage	Units					1
SP.POP.GROW.BLZ	Belize Population growth (annual %)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	XXX	Population	Development	Percent Per Annum	Units					1
SP.POP.DPND.BLZ	Belize Age dependency ratio (% of working-age population)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	XXX	Population	Development	Percentage	Units					1
NY.GNP.MKTP.CD.BLZ	Belize GNI (current US$)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Millions					1
FM.AST.NFRG.CN.BLZ	Belize Net foreign assets (current LCU)	12-31-1976	12-31-2018	"Annual From Dec 1976 To Dec 2018, "	BELIZE	BZD	Financial Sector	Economic	National Currency	Millions					1
NY.GDP.MKTP.KD.ZG.BLZ	Belize GDP growth (annual %)	12-31-1961	12-31-2018	"Annual From Dec 1961 To Dec 2018, "	BELIZE	XXX	National Account Aggregates	National Accounts	Percent Per Annum	Units					1
BX.TRF.CURR.CD.BLZ	"Belize Current transfers, receipts (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
DT.AMT.BLAT.CD.BLZ	"Belize PPG, bilateral (AMT, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
DT.INT.BLAT.CD.BLZ	"Belize PPG, bilateral (INT, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
NY.GDP.PCAP.KN.BLZ	Belize GDP per capita (constant LCU)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	BZD	National Account Aggregates	National Accounts	National Currency	Thousands					1
DT.INT.DLXF.CD.BLZ	"Belize Interest payments on external debt, long-term (INT, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
NY.GDP.PCAP.CD.BLZ	Belize GDP per capita (current US$)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Units					1
FM.LBL.BMNY.CN.BLZ	Belize Broad money (current LCU)	12-31-1976	12-31-2018	"Annual From Dec 1976 To Dec 2018, "	BELIZE	BZD	Monetary Aggregates	Economic	National Currency	Millions					1
NY.GDP.MKTP.CN.BLZ	Belize GDP (current LCU)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	BZD	National Account Aggregates	National Accounts	National Currency	Millions					1
TM.VAL.MRCH.CD.WT.BLZ	Belize Merchandise imports (current US$)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	USD	Exports and Imports	International Trade	National Currency	Millions					1
NY.GDP.PCAP.KD.ZG.BLZ	Belize GDP per capita growth (annual %)	12-31-1961	12-31-2018	"Annual From Dec 1961 To Dec 2018, "	BELIZE	XXX	National Account Aggregates	National Accounts	Percent Per Annum	Units					1
NY.GDP.MKTP.KD.BLZ	Belize GDP (constant 2000 US$)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Millions					1
FI.RES.XGLD.CD.BLZ	Belize Total reserves minus gold (current US$)	12-31-1976	12-31-2018	"Annual From Dec 1976 To Dec 2018, "	BELIZE	USD	International Liquidity	International Trade	National Currency	Millions					1
DT.DIS.MLAT.CD.BLZ	"Belize PPG, multilateral (DIS, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
DBXBLZQ	Belize Countries External Debt Securities	09-30-2002	03-31-2015	"Quarterly From Sep 2002 To Mar 2015, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Billions					1
NY.GDP.DEFL.ZS.BLZ	Belize GDP deflator (base year varies by country)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	BZD	National Account Aggregates	National Accounts	Index Number	Units					1
NY.GNP.MKTP.CN.BLZ	Belize GNI (current LCU)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	BZD	National Account Aggregates	National Accounts	National Currency	Millions					1
