Series O 0–37 / Settlements present or established post-Columbus.
ID	NO	NAME 0	EXC	NAME 1	DESC	LAT 0	LON 0	VIA 0	LAT 1	LON 1	VIA 1	START	STOP	VIA 2	NOTE	END	
O 0	0	Baltok	0	xnp	xnp	xnp	xnp	xnp	17.13	-89.06	Jones xvi	xnp	xnp	Jones xvi	xnp	###	
O 1	1	Barcadares	1	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
O 2	2	Belize	0	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
O 3	3	Boxelac	0	xnp	xnp	17.37	-88.74	Graham 241	xnp	xnp	xnp	xnp	xnp	Graham 241	xnp	###	
O 4	4	Campin	0	xnp	xnp	xnp	xnp	xnp	16.37	-88.51	Jones xv	xnp	xnp	Jones xv	xnp	###	
O 5	5	Chanlacan	0	xnp	On or near Progresso Lagoon /v Jones 283–284	18.24	-88.41	Graham 53	18.25	-88.38	Jones xv	xnp	30 Dec 1654	Graham 53 / Jones xv	"See Jaime Awe, John Morris, Sherilyne Jones & Christophe Helmke, *Archaeological Investigations in the Eastern Maya Lowlands: Papers of the 2004 Belize Archaeology Symposium* [Belmopan, NICH, 2005], 223–230 /v Graham 199"	###	
O 6	6	Chantome	0	xnp	xnp	xnp	xnp	xnp	17.29	-88.79	Jones xvi	xnp	xnp	Jones xvi	xnp	###	
O 7	7	Chetumal	1	Chactumal / Chetemal / Chitemal / Villa Real de Chetumal / Santa Rita Corozal / Corozal T / Corosal T	2 t 3 [Sp naut] leagues N or S fm mouth of Hondo /v Jones 280–281	18.41	-88.38	Graham 53	18.41	-88.38	Jones xvi	xnp	xnp	Graham 53 / Jones xvi	"Location likely not Santa Rita Corozal, rather Ichpaatun–Oxtancah–San Manuel [archaeological] complex [opp Tamalcab Isl, sev km N of Calderitas, Q. Roo, Mexico] /v Jones 280–281 /// Location = 3 [Sp naut] leagues N or S of mouth of Hondo ie site of an estancia of a Bacalar vecino in 1618 [= date of Fr Bartolomé Fuensalida + Alcalde ordinario of Bacalar journey via Bacalar–Hondo R–New R–Old R–Macal R to Tipu] /v Jones 281–282 /Cogolludo lib 9 cap 6 /// Location possibly or likely = Santa Rita Corozal, eg Diane Z. Chase, *Archaeology* 34(sn), ""The Maya Postclassic at Santa Rita Corozal"" [1981], 25–33 / Grant D. Jones, *Belcast Journal of Belizean Affairs* 1(1), ""Maya-Spanish Relations in Sixteenth Century Belize"" [1984], 30-31 /v Jones 282 / Ueli Hostettler & Matthew Restall, *Maya Survivalism* [Markt Schwaben, Verlag Anton Saurwein, 2001], 37–50 /v Graham 130"	###	
O 8	8	Chinam	0	xnp	xnp	xnp	xnp	xnp	18.46	-88.70	Jones xvi	xnp	xnp	Jones xvi	"Possibly see mention of ""chinamitas"" near Tipu in Avendaño 1695–1696 Hon map in New Lib Ayer MS 1040 = Aliphat 863 /v Aliphat 864"	###	
O 9	9	Chunukum	0	xnp	"S of Lucu, on Old R /v Jones 288"	xnp	xnp	xnp	17.35	-88.70	Jones xvi	xnp	xnp	Jones xvi	xnp	###	
O 10	10	Colmotz	0	xnp	On or near Hill Bank [SW end of New R Lagoon] /v Graham 199	17.60	-88.70	Graham 53	17.60	-88.70	Jones xvi	xnp	xnp	Graham 53 / Jones xvi	xnp	###	
O 11	11	Commerce Bight	0	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
O 12	12	Holpatin	0	xnp	xnp	xnp	xnp	xnp	18.08	-88.57	Jones xvi	xnp	xnp	Jones xvi	"= Holpachay?, settlement on or near Old R eg reached in 1654–1656 Perez entrada / Location unknown /v Graham 250 /v Jones 230–240"	###	
O 13	13	Holzuz	0	xnp	Near Belize R mouth /v Jones 288	xnp	xnp	xnp	17.51	-88.22	Jones xv	xnp	xnp	Jones xv	xnp	###	
O 14	14	Hubelna	0	xnp	xnp	xnp	xnp	xnp	17.15	-88.85	Jones xvi	xnp	xnp	Jones xvi	xnp	###	
O 15	15	Ilbob	0	Ylbob	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	Graham 113–115	Appears in 17th cent. maps / Shown S of Lamanai /v Graham 113–115	###	
O 16	16	Lamanai	1	Lamanay / Laimaná / Lamayna / La Manai / Indian Church	xnp	17.76	-88.65	Graham 53	xnp	xnp	xnp	xnp	xnp	Graham 53	"xxx Indian Church village relocated after discovery of Lamanai archaeological site /v Graham 224 /// 1641 Mayan residents relocate, possibly under Itza pressure /v Jones C xxx /v Graham 236 /// See Tracie Diane Mayfield, MA Thesis for Illinois State U, 2009,  ""Ceramics, Landscape, and Colonialism: Archaeological analysis of the British Settlement at Lamanai, Belize, 1837 to 1868"" / Darcy L. Wiewall, PhD Thesis U of California in Riverside Calif., 2009, ""Identifying the Impact of the Spanish Colonial Regime on Maya Household Production at Lamanai, Belize, during the Terminal Postclassic to Early Colonial Transition"" /v Graham 254"	###	
O 17	17	Lower Barcadares	0	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
O 18	18	Lucu	0	Luku	"Near present-day Never Delay, Mt Pleasant /v Jones 287"	xnp	xnp	xnp	17.32	-88.76	Jones xvi	xnp	xnp	Jones xvi	xnp	###	
O 19	19	Manan	0	xnp	On Southern Lagoon /v Jones 189	17.20	-88.35	Graham 53	17.20	-88.35	Jones xvi	xnp	xnp	Graham 53 / Jones xvi	xnp	###	
O 20	20	Marco Gonzalez	1	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	Graham 129–130	"See Elizabeth Graham & David M. Pendergast, *Journal of Field Archaeology* 16(1), ""Excavations at the Marco Gonzalez Site, Ambergris Caye, Belize"" [1989], 13–15 / Marilyn A. Masson & David A. Freidel, *Ancient Maya Policital Economies* [Walnut Creek Calif., Altamira Press, 2002], 307–334 /v Graham 130"	###	
O 21	21	Mazanahau	0	xnp	Near Lucu and Zaczuz /v Jones 287	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	Jones 287	xnp	###	
O 22	22	Paliac	0	xnp	xnp	xnp	xnp	xnp	16.15	-88.79	Jones xv	xnp	xnp	Jones xv	xnp	###	
O 23	23	Pantoja	0	Pantoia	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	Graham 113–115	Appears in 17th cent. maps / Shown N of Zacatan /v Graham 113–115	###	
O 24	24	Petentzub	0	Petenzub / Petentzuc	xnp	xnp	xnp	xnp	17.27		Jones xvi	xnp	xnp	Jones xvi	xnp	###	
O 25	25	Punquy	0	Punay	Upstream of Lamanai /v Jones 287	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	Jones 287	xnp	###	
O 26	26	San Pedro	0	xnp	On or near present-day San Pedro T /v Graham 117	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"Graham 118, 129–130"	"See David Hurst Thomas, *The Spanish Borderlands in Pan-American Perspective*, vol 3 [Washington, Smithsonian, 1991], 361 fig 17-2 /v Graham 118 /// See Jaime Awe, John Morris, Sherilyne Jones & Christophe Helmke, *Archaeological Investigations in the Eastern Maya Lowlands: Papers of the 2004 Belize Archaeology Symposium* [Belmopan, NICH, 2005], 257–267 /v Graham 254"	###	
O 27	27	Soite	0	xnp	xnp	xnp	xnp	xnp	16.82	-88.30	Jones xvi	xnp	xnp	Jones xvi	xnp	###	
O 28	28	St. George’s	0	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
O 29	29	Tipu	1	Tipuj / Negroman	xnp	17.08	-89.08	Graham 53	17.15	-89.08	Jones xv	xnp	xnp	Graham 53 / Jones xv	"See David M. Pendergrast, Grant D. Jones & Elizabeth Graham, *Latin American Antiquity* sn(4), ""Locating Spanish Colonial Towns in the Maya Lowlands: A Case Study from Belize” [1993] /v Graham 199"	###	
O 30	30	Uatibal	0	Hautila	"On Laguna Seca [near present-day Copper Bank, Chunox] /v Jones 285"	18.29	-88.36	Graham 53	18.32	-88.35	Jones xvi	xnp	30 Dec 1659	Graham 53 / Jones xvi	xnp	###	
O 31	31	Upper Barcadares	0	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
O 32	32	Xibun	0	xnp	Upstream of Sibun R mouth /v Jones 288	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	Jones 288	xnp	###	
O 33	33	xxx	0	Iglesia arruinada	N of Belize R mouth /v Jones 290	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	Jones 290	No known town at this location / present in 1783 Versailles Treaty maps / Location possibly = Midwinters Lagoon [near Iguana Caye] /v Jones 290	###	
O 34	34	xxx	0	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	Graham 118	"See John McAndrew, *The Open-Air Churches of Sixteenth-Century Mexico* [Cambridge Mass., Harvard U Press, 1965], 533 /v Graham 118 /// See Heather McKillop, *In Search of Maya Sea Traders* [College Station Tex., Texas A&M U Press, 2005], fig 6.28 /v Graham 130 /// Mayapan [not Mayapan N of Hondo R] recorded in Bacalar encomiendas and 1654–1656 Perez entrada, but location unkown /v Graham 368 no 69 /v Jones 194"	###	
O 35	35	Zacatan	0	Zacathan / Zaratam	N of Belize R mouth / 16 [Sp naut] leagues S of Hondo R mouth / near Spanish Point likely /v Jones 289	17.87	-88.23	Graham 53	17.97	-88.18	Jones xvi	xnp	30 Dec 1641	Graham 53 / Jones xvi	"Well-known coastal town, must have been relocated near Lucu, Zaczuz on Belize R by 1641 /v Jones 287 /// Location possibly = Bennett's Lagoon [near Spanish Point ] / Location possibly = Northern R Lagoon [c 14 km S of Spanish Point] /v Jones 289 /// See eg Avendaño 1695–1696 Hon map in New Lib Ayer MS 1040 = Aliphat 863 /v Aliphat 864"	###	
O 36	36	Zaczuz	0	Zockzux	On or near present-day Roaring Creek Village / a short distance upstream of Lucu /v Jones 288	xnp	xnp	xnp	17.25	-88.79	Jones xvi	xnp	xnp	Jones xvi	Location possibly = present-day Baking Pot [archaeological site] /v Jones 288	###	
O 37	37	Zonail	0	Zonavil	Upstream of Lamanai /v Jones 287	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	Jones 287	xnp	###	
