meta: Table 1
title	Historical series re Belize					
series	null					
series_version	1.5					
file	graphs.numbers					
file_version	1.1					
file_date	8 aug 2022 11.44 am					
file_author	navidad					
file_rights	copyright					
file_licence	creative					
file_place	boston					


data-0: Table 1
id	base	sub_0	sub_1	sub_2	sub_3	sub_4					log_a_time	log_a0_sum	log_a1_sum	log_a2_sum	log_a3_sum	log_a4_sum	log_b_time	log_b0_sum
sb000											08 aug 2022 11.54 am	created record						


Sheet 1-1-1: Table 1
						
						
						
						
						
						
						
						
			dasd			
						
						
						
						
						
						
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
						
		asdf	asdf	asdf		


Sheet 1-1-1-1: Table 1
						
						
						
						
						
						
						
						
			dasd			
						
						
						
						
						
						
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
						
		asdf	asdf	asdf		


Sheet 1-1-1-1-1: Table 1
						
						
						
						
						
						
						
						
			dasd			
						
						
						
						
						
						
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
						
		asdf	asdf	asdf		
